"","year","mean","se","lcl","ucl","species","colony","sp_col2"
"110",2015,0.8788878,0.0674237,0.6770915,0.961707,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"111",2016,0.8571826,0.0913183,0.5817701,0.962821,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"112",2017,0.8342336,0.0630893,0.6729921,0.9248482,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"113",2019,0.804811,0.3705028,0.0389372,0.9976226,"Black-legged kittiwake","Hjelmsøya","Black-legged kittiwake-Hjelmsøya"
"114",1991,0.9470045,0.0246315,0.8722654,0.9790625,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"115",1993,0.9790904,0.0829984,0.0163068,0.9999924,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"116",1994,0.5761972,0.0543955,0.4676905,0.6778224,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"117",1995,0.7825083,0.0471644,0.6763768,0.8609876,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"118",1996,0.8628904,0.0294379,0.7944274,0.9111042,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"119",1997,0.9354045,0.0169693,0.8930599,0.9617012,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"120",1998,0.8524828,0.0189499,0.8113583,0.8859028,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"121",1999,0.8643611,0.0192333,0.8220733,0.8978473,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"122",2000,0.8609565,0.0214138,0.8134603,0.8978776,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"123",2001,0.9304738,0.0219882,0.8730066,0.963037,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"124",2002,0.8600671,0.0311921,0.7871558,0.9108314,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"125",2003,0.7524765,0.0364252,0.6744882,0.8168535,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"126",2004,0.7941146,0.0629596,0.6445452,0.8913562,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"127",2005,0.7011187,0.0550898,0.5835486,0.7970412,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"128",2006,0.9473498,0.0441254,0.7606158,0.9902813,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
"129",2007,0.9021845,0.0379533,0.7987958,0.9554124,"Black-legged kittiwake","Hornøya","Black-legged kittiwake-Hornøya"
