year;species;site;year;season;MeanAut_SST
2037;Common guillemot;Jan Mayen;2037;Aut;7.255537251
2038;Common guillemot;Jan Mayen;2038;Aut;6.62629909
2039;Common guillemot;Jan Mayen;2039;Aut;7.667323291
2040;Common guillemot;Jan Mayen;2040;Aut;8.3213276
2041;Common guillemot;Jan Mayen;2041;Aut;6.890943997
2042;Common guillemot;Jan Mayen;2042;Aut;6.914591337
2043;Common guillemot;Jan Mayen;2043;Aut;7.218075284
2044;Common guillemot;Jan Mayen;2044;Aut;7.181488491
2045;Common guillemot;Jan Mayen;2045;Aut;7.321870864
2046;Common guillemot;Jan Mayen;2046;Aut;7.182663796
2047;Common guillemot;Jan Mayen;2047;Aut;7.475040354
2048;Common guillemot;Jan Mayen;2048;Aut;7.446737192
2049;Common guillemot;Jan Mayen;2049;Aut;8.349464303
2050;Common guillemot;Jan Mayen;2050;Aut;8.313254314
1980;Little auk;Bjørnøya;1980;Aut;2.326002866
1981;Little auk;Bjørnøya;1981;Aut;2.369630696
1982;Little auk;Bjørnøya;1982;Aut;1.070009239
1983;Little auk;Bjørnøya;1983;Aut;2.773285646
1984;Little auk;Bjørnøya;1984;Aut;3.214576538
1985;Little auk;Bjørnøya;1985;Aut;2.879923884
1986;Little auk;Bjørnøya;1986;Aut;2.645886753
1987;Little auk;Bjørnøya;1987;Aut;1.775973181
1988;Little auk;Bjørnøya;1988;Aut;1.962572447
1989;Little auk;Bjørnøya;1989;Aut;1.701145323
1990;Little auk;Bjørnøya;1990;Aut;2.891889509
1991;Little auk;Bjørnøya;1991;Aut;2.527130736
1992;Little auk;Bjørnøya;1992;Aut;2.506160498
1993;Little auk;Bjørnøya;1993;Aut;2.440938156
1994;Little auk;Bjørnøya;1994;Aut;2.682181663
1995;Little auk;Bjørnøya;1995;Aut;2.980207007
1996;Little auk;Bjørnøya;1996;Aut;2.63075078
1997;Little auk;Bjørnøya;1997;Aut;2.620212457
1998;Little auk;Bjørnøya;1998;Aut;2.780437076
1999;Little auk;Bjørnøya;1999;Aut;2.773222249
2000;Little auk;Bjørnøya;2000;Aut;3.358436277
2001;Little auk;Bjørnøya;2001;Aut;4.16909304
2002;Little auk;Bjørnøya;2002;Aut;3.088196721
2003;Little auk;Bjørnøya;2003;Aut;1.940683574
2004;Little auk;Bjørnøya;2004;Aut;3.817941004
2005;Little auk;Bjørnøya;2005;Aut;3.565688049
2006;Little auk;Bjørnøya;2006;Aut;3.973646039
2007;Little auk;Bjørnøya;2007;Aut;4.258522596
2008;Little auk;Bjørnøya;2008;Aut;2.788704543
2009;Little auk;Bjørnøya;2009;Aut;2.978281479
2010;Little auk;Bjørnøya;2010;Aut;3.257004051
2011;Little auk;Bjørnøya;2011;Aut;4.531637144
2012;Little auk;Bjørnøya;2012;Aut;4.179000625
2013;Little auk;Bjørnøya;2013;Aut;4.838613401
2014;Little auk;Bjørnøya;2014;Aut;3.157075702
2015;Little auk;Bjørnøya;2015;Aut;4.094325098
2016;Little auk;Bjørnøya;2016;Aut;3.348099333
2017;Little auk;Bjørnøya;2017;Aut;3.437734494
2018;Little auk;Bjørnøya;2018;Aut;2.438743874
2019;Little auk;Bjørnøya;2019;Aut;3.843883059
2020;Little auk;Bjørnøya;2020;Aut;4.512594424
2021;Little auk;Bjørnøya;2021;Aut;4.374433455
2022;Little auk;Bjørnøya;2022;Aut;4.312847117
2023;Little auk;Bjørnøya;2023;Aut;3.590088935
2024;Little auk;Bjørnøya;2024;Aut;3.978969896
2025;Little auk;Bjørnøya;2025;Aut;4.112281616
2026;Little auk;Bjørnøya;2026;Aut;5.18474141
2027;Little auk;Bjørnøya;2027;Aut;4.758953199
2028;Little auk;Bjørnøya;2028;Aut;4.670102668
2029;Little auk;Bjørnøya;2029;Aut;4.505153853
2030;Little auk;Bjørnøya;2030;Aut;4.516681666
2031;Little auk;Bjørnøya;2031;Aut;4.771328294
2032;Little auk;Bjørnøya;2032;Aut;4.314884523
2033;Little auk;Bjørnøya;2033;Aut;4.24478086
2034;Little auk;Bjørnøya;2034;Aut;4.386606177
2035;Little auk;Bjørnøya;2035;Aut;4.548192464
2036;Little auk;Bjørnøya;2036;Aut;5.037717042
2037;Little auk;Bjørnøya;2037;Aut;5.71055319
2038;Little auk;Bjørnøya;2038;Aut;4.807882013
2039;Little auk;Bjørnøya;2039;Aut;3.870536652
2040;Little auk;Bjørnøya;2040;Aut;5.372663559
2041;Little auk;Bjørnøya;2041;Aut;5.343904191
2042;Little auk;Bjørnøya;2042;Aut;5.791007719
2043;Little auk;Bjørnøya;2043;Aut;6.073194503
2044;Little auk;Bjørnøya;2044;Aut;4.704800471
2045;Little auk;Bjørnøya;2045;Aut;4.748258497
2046;Little auk;Bjørnøya;2046;Aut;5.136770263
2047;Little auk;Bjørnøya;2047;Aut;6.215959338
2048;Little auk;Bjørnøya;2048;Aut;6.082016383
2049;Little auk;Bjørnøya;2049;Aut;6.654426702
2050;Little auk;Bjørnøya;2050;Aut;5.064964826
1980;Little auk;Isfjorden;1980;Aut;1.770985302
1981;Little auk;Isfjorden;1981;Aut;1.876295788
1982;Little auk;Isfjorden;1982;Aut;1.124575287
1983;Little auk;Isfjorden;1983;Aut;2.190818338
1984;Little auk;Isfjorden;1984;Aut;2.554626695
1985;Little auk;Isfjorden;1985;Aut;3.010551416
1986;Little auk;Isfjorden;1986;Aut;1.919305009
1987;Little auk;Isfjorden;1987;Aut;1.010046683
1988;Little auk;Isfjorden;1988;Aut;1.801162004
1989;Little auk;Isfjorden;1989;Aut;1.747695207
1990;Little auk;Isfjorden;1990;Aut;3.135507655
1991;Little auk;Isfjorden;1991;Aut;2.355843911
1992;Little auk;Isfjorden;1992;Aut;1.751457671
1993;Little auk;Isfjorden;1993;Aut;2.802551829
1994;Little auk;Isfjorden;1994;Aut;1.494376935
1995;Little auk;Isfjorden;1995;Aut;1.501725831
1996;Little auk;Isfjorden;1996;Aut;2.45709778
1997;Little auk;Isfjorden;1997;Aut;1.602378232
1998;Little auk;Isfjorden;1998;Aut;3.012824029
1999;Little auk;Isfjorden;1999;Aut;2.327123497
2000;Little auk;Isfjorden;2000;Aut;2.674751779
2001;Little auk;Isfjorden;2001;Aut;3.374380172
2002;Little auk;Isfjorden;2002;Aut;4.046343353
2003;Little auk;Isfjorden;2003;Aut;3.361005083
2004;Little auk;Isfjorden;2004;Aut;4.020268015
2005;Little auk;Isfjorden;2005;Aut;2.74488759
2006;Little auk;Isfjorden;2006;Aut;3.300031126
2007;Little auk;Isfjorden;2007;Aut;2.110044314
2008;Little auk;Isfjorden;2008;Aut;2.945563945
2009;Little auk;Isfjorden;2009;Aut;3.147362294
2010;Little auk;Isfjorden;2010;Aut;3.302988452
2011;Little auk;Isfjorden;2011;Aut;3.321475031
2012;Little auk;Isfjorden;2012;Aut;2.880204341
2013;Little auk;Isfjorden;2013;Aut;4.030863784
2014;Little auk;Isfjorden;2014;Aut;3.456124508
2015;Little auk;Isfjorden;2015;Aut;3.580844503
2016;Little auk;Isfjorden;2016;Aut;2.451141012
2017;Little auk;Isfjorden;2017;Aut;2.8854277
2018;Little auk;Isfjorden;2018;Aut;2.800390428
2019;Little auk;Isfjorden;2019;Aut;3.094443333
2020;Little auk;Isfjorden;2020;Aut;3.751733398
2021;Little auk;Isfjorden;2021;Aut;4.206045869
2022;Little auk;Isfjorden;2022;Aut;3.602451935
2023;Little auk;Isfjorden;2023;Aut;2.847554645
2024;Little auk;Isfjorden;2024;Aut;3.515258197
2025;Little auk;Isfjorden;2025;Aut;3.687613252
2026;Little auk;Isfjorden;2026;Aut;4.692122615
2027;Little auk;Isfjorden;2027;Aut;4.019505322
2028;Little auk;Isfjorden;2028;Aut;3.695020387
2029;Little auk;Isfjorden;2029;Aut;4.386682951
2030;Little auk;Isfjorden;2030;Aut;3.669171422
2031;Little auk;Isfjorden;2031;Aut;3.877175286
2032;Little auk;Isfjorden;2032;Aut;3.786460593
2033;Little auk;Isfjorden;2033;Aut;3.279904331
2034;Little auk;Isfjorden;2034;Aut;4.26316655
2035;Little auk;Isfjorden;2035;Aut;4.035239561
2036;Little auk;Isfjorden;2036;Aut;3.855323713
2037;Little auk;Isfjorden;2037;Aut;4.277815975
2038;Little auk;Isfjorden;2038;Aut;4.717311215
2039;Little auk;Isfjorden;2039;Aut;4.194942077
2040;Little auk;Isfjorden;2040;Aut;4.873267062
2041;Little auk;Isfjorden;2041;Aut;4.27679269
2042;Little auk;Isfjorden;2042;Aut;4.393827191
2043;Little auk;Isfjorden;2043;Aut;4.104820955
2044;Little auk;Isfjorden;2044;Aut;4.252303608
2045;Little auk;Isfjorden;2045;Aut;4.79873672
2046;Little auk;Isfjorden;2046;Aut;4.854665981
2047;Little auk;Isfjorden;2047;Aut;5.040067425
2048;Little auk;Isfjorden;2048;Aut;4.528702712
2049;Little auk;Isfjorden;2049;Aut;5.254729879
2050;Little auk;Isfjorden;2050;Aut;4.905067859
1980;Little auk;Kongsfjorden;1980;Aut;0.492742986
1981;Little auk;Kongsfjorden;1981;Aut;0.563293063
1982;Little auk;Kongsfjorden;1982;Aut;-0.142958249
1983;Little auk;Kongsfjorden;1983;Aut;1.142358661
1984;Little auk;Kongsfjorden;1984;Aut;1.52601279
1985;Little auk;Kongsfjorden;1985;Aut;2.036665984
1986;Little auk;Kongsfjorden;1986;Aut;0.668841356
1987;Little auk;Kongsfjorden;1987;Aut;-0.305736517
1988;Little auk;Kongsfjorden;1988;Aut;0.684510196
1989;Little auk;Kongsfjorden;1989;Aut;0.557758947
1990;Little auk;Kongsfjorden;1990;Aut;2.093503759
1991;Little auk;Kongsfjorden;1991;Aut;1.19184019
1992;Little auk;Kongsfjorden;1992;Aut;0.629807995
1993;Little auk;Kongsfjorden;1993;Aut;1.503996556
1994;Little auk;Kongsfjorden;1994;Aut;0.176902722
1995;Little auk;Kongsfjorden;1995;Aut;-0.135481508
1996;Little auk;Kongsfjorden;1996;Aut;1.296847436
1997;Little auk;Kongsfjorden;1997;Aut;0.447287414
1998;Little auk;Kongsfjorden;1998;Aut;1.734405452
1999;Little auk;Kongsfjorden;1999;Aut;1.189490665
2000;Little auk;Kongsfjorden;2000;Aut;1.364993647
2001;Little auk;Kongsfjorden;2001;Aut;2.419450657
2002;Little auk;Kongsfjorden;2002;Aut;2.828936702
2003;Little auk;Kongsfjorden;2003;Aut;1.963864825
2004;Little auk;Kongsfjorden;2004;Aut;3.136281922
2005;Little auk;Kongsfjorden;2005;Aut;1.163378906
2006;Little auk;Kongsfjorden;2006;Aut;2.264369382
2007;Little auk;Kongsfjorden;2007;Aut;0.861065083
2008;Little auk;Kongsfjorden;2008;Aut;1.672731592
2009;Little auk;Kongsfjorden;2009;Aut;1.716915795
2010;Little auk;Kongsfjorden;2010;Aut;1.842215064
2011;Little auk;Kongsfjorden;2011;Aut;2.192033403
2012;Little auk;Kongsfjorden;2012;Aut;1.965831338
2013;Little auk;Kongsfjorden;2013;Aut;3.078820407
2014;Little auk;Kongsfjorden;2014;Aut;2.070373929
2015;Little auk;Kongsfjorden;2015;Aut;2.347578808
2016;Little auk;Kongsfjorden;2016;Aut;1.004647597
2017;Little auk;Kongsfjorden;2017;Aut;1.576030378
2018;Little auk;Kongsfjorden;2018;Aut;1.80184313
2019;Little auk;Kongsfjorden;2019;Aut;1.83894253
2020;Little auk;Kongsfjorden;2020;Aut;2.755296539
2021;Little auk;Kongsfjorden;2021;Aut;3.231762958
2022;Little auk;Kongsfjorden;2022;Aut;2.518848444
2023;Little auk;Kongsfjorden;2023;Aut;1.652336662
2024;Little auk;Kongsfjorden;2024;Aut;2.471178805
2025;Little auk;Kongsfjorden;2025;Aut;2.649270203
2026;Little auk;Kongsfjorden;2026;Aut;3.658972562
2027;Little auk;Kongsfjorden;2027;Aut;3.096472824
2028;Little auk;Kongsfjorden;2028;Aut;2.737235383
2029;Little auk;Kongsfjorden;2029;Aut;3.323524918
2030;Little auk;Kongsfjorden;2030;Aut;2.803634808
2031;Little auk;Kongsfjorden;2031;Aut;2.880101226
2032;Little auk;Kongsfjorden;2032;Aut;2.925626365
2033;Little auk;Kongsfjorden;2033;Aut;2.494247207
2034;Little auk;Kongsfjorden;2034;Aut;3.275321058
2035;Little auk;Kongsfjorden;2035;Aut;3.209376838
2036;Little auk;Kongsfjorden;2036;Aut;2.868184539
2037;Little auk;Kongsfjorden;2037;Aut;3.486128875
2038;Little auk;Kongsfjorden;2038;Aut;3.832930633
2039;Little auk;Kongsfjorden;2039;Aut;3.212492387
2040;Little auk;Kongsfjorden;2040;Aut;4.14508201
2041;Little auk;Kongsfjorden;2041;Aut;3.368851069
2042;Little auk;Kongsfjorden;2042;Aut;3.650206601
2043;Little auk;Kongsfjorden;2043;Aut;3.290598223
2044;Little auk;Kongsfjorden;2044;Aut;3.403723538
2045;Little auk;Kongsfjorden;2045;Aut;3.772376145
2046;Little auk;Kongsfjorden;2046;Aut;3.976091282
2047;Little auk;Kongsfjorden;2047;Aut;4.20210171
2048;Little auk;Kongsfjorden;2048;Aut;3.789077726
2049;Little auk;Kongsfjorden;2049;Aut;4.487638871
2050;Little auk;Kongsfjorden;2050;Aut;3.870574229
